iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million
AFG,Asia,Afghanistan,24/02/2020,5,5,,,,,0.122,0.122,,
AFG,Asia,Afghanistan,25/02/2020,5,0,,,,,0.122,0,,
AFG,Asia,Afghanistan,26/02/2020,5,0,,,,,0.122,0,,
AFG,Asia,Afghanistan,27/02/2020,5,0,,,,,0.122,0,,
AFG,Asia,Afghanistan,28/02/2020,5,0,,,,,0.122,0,,
AFG,Asia,Afghanistan,29/02/2020,5,0,0.714,,,,0.122,0,0.017,
AFG,Asia,Afghanistan,01/03/2020,5,0,0.714,,,,0.122,0,0.017,
AFG,Asia,Afghanistan,02/03/2020,5,0,0,,,,0.122,0,0,
AFG,Asia,Afghanistan,03/03/2020,5,0,0,,,,0.122,0,0,
AFG,Asia,Afghanistan,04/03/2020,5,0,0,,,,0.122,0,0,
AFG,Asia,Afghanistan,05/03/2020,5,0,0,,,,0.122,0,0,
AFG,Asia,Afghanistan,06/03/2020,5,0,0,,,,0.122,0,0,
AFG,Asia,Afghanistan,07/03/2020,8,3,0.429,,,,0.195,0.073,0.01,
AFG,Asia,Afghanistan,08/03/2020,8,0,0.429,,,,0.195,0,0.01,
AFG,Asia,Afghanistan,09/03/2020,8,0,0.429,,,,0.195,0,0.01,
AFG,Asia,Afghanistan,10/03/2020,8,0,0.429,,,,0.195,0,0.01,
AFG,Asia,Afghanistan,11/03/2020,11,3,0.857,,,,0.267,0.073,0.021,
AFG,Asia,Afghanistan,12/03/2020,11,0,0.857,,,,0.267,0,0.021,
